tweet_id,date,location,symptoms
1201510495049715712,2019-12-02,"Alabama, USA",cough
1201649947868717056,2019-12-02,"Arizona, USA",cough
1201547964746883072,2019-12-02,"Arizona, USA",cough
1201361875780259840,2019-12-02,"Arizona, USA",cough
1201345535975682048,2019-12-02,"Arizona, USA",cough
1201339938874150912,2019-12-02,"Arizona, USA",fever
1201576017703424000,2019-12-02,"Arkansas, USA",cough
1201587187084603392,2019-12-02,"California, USA",cough
1201584119890817024,2019-12-02,"California, USA",cough
1201514457551130624,2019-12-02,"California, USA",cough
1201392107421720576,2019-12-02,"California, USA",cough
1201378739461882112,2019-12-02,"California, USA",cough
1201348587377983488,2019-12-02,"California, USA",cough
1201292027247202304,2019-12-02,"California, USA",cough
1201552506116952064,2019-12-02,"California, USA",fever
1201521267662131200,2019-12-02,"California, USA",fever
1201389413479014400,2019-12-02,"California, USA",fever
1201330930524147712,2019-12-02,"California, USA",fever
1201309662651371520,2019-12-02,"California, USA",fever
1201290028581867520,2019-12-02,"California, USA",fever
1201538757977083904,2019-12-02,"Colorado, USA",cough
1201542485278953472,2019-12-02,"Florida, USA",cough
1201386904559738880,2019-12-02,"Florida, USA",cough
1201548491413213184,2019-12-02,"Florida, USA",fever
1201314525384990720,2019-12-02,"Florida, USA",fever
1201651856214286336,2019-12-02,"Georgia, USA",fever
1201631818279276288,2019-12-02,"Georgia, USA",fever
1201580391896952832,2019-12-02,"Georgia, USA",fever
1201576759570968576,2019-12-02,"Illinois, USA",fever
1201509479688409088,2019-12-02,"Illinois, USA",fever
1201493624766287872,2019-12-02,"Illinois, USA",fever
1201337245527166976,2019-12-02,"Illinois, USA",fever
1201325308240117760,2019-12-02,"Illinois, USA",fever
1201634806947336192,2019-12-02,"Indiana, USA",cough
1201321180600422400,2019-12-02,"Indiana, USA",cough
1201586158234415104,2019-12-02,"Kentucky, USA",cough
1201292975197831168,2019-12-02,"Kentucky, USA",cough
1201537537136877568,2019-12-02,"Kentucky, USA",fever
1201320703926112512,2019-12-02,"Kentucky, USA",fever
1201633809248215040,2019-12-02,"Louisiana, USA",cough
1201465022104457216,2019-12-02,"Louisiana, USA",fever
1201299930448613376,2019-12-02,"Maryland, USA",cough
1201608825675104512,2019-12-02,"Massachusetts, USA",fever
1201371679320133632,2019-12-02,"Michigan, USA",fever
1201585847725895680,2019-12-02,"Minnesota, USA",cough
1201348778231549952,2019-12-02,"Minnesota, USA",cough
1201600724922187776,2019-12-02,"Missouri, USA",fever
1201396583780237312,2019-12-02,"Missouri, USA",fever
1201355740591665152,2019-12-02,"Missouri, USA",fever
1201345736488759296,2019-12-02,"Missouri, USA",fever
1201298774250930176,2019-12-02,"Missouri, USA",fever
1201522009135407104,2019-12-02,"Nevada, USA",cough
1201412737902903296,2019-12-02,"New_Mexico, USA",cough
1201626327889014784,2019-12-02,"New_York, USA",cough
1201576880878563328,2019-12-02,"New_York, USA",cough
1201530161402957824,2019-12-02,"New_York, USA",cough
1201475078229242112,2019-12-02,"New_York, USA",cough
1201576851870756864,2019-12-02,"New_York, USA",fever
1201544909230137088,2019-12-02,"New_York, USA",fever
1201527322190532608,2019-12-02,"New_York, USA",fever
1201372096556929024,2019-12-02,"New_York, USA",fever
1201370630521868288,2019-12-02,"New_York, USA",fever
1201310069431918592,2019-12-02,"New_York, USA",fever
1201514072837107712,2019-12-02,"North_Carolina, USA",cough
1201512069092134912,2019-12-02,"North_Carolina, USA",cough
1201392254855852032,2019-12-02,"North_Carolina, USA",cough
1201390190780178432,2019-12-02,"North_Carolina, USA",cough
1201652084698943488,2019-12-02,"North_Carolina, USA",fever
1201594410137477120,2019-12-02,"North_Carolina, USA",fever
1201490807439740928,2019-12-02,"North_Carolina, USA",fever
1201307854797451264,2019-12-02,"North_Carolina, USA",fever
1201502671330565888,2019-12-02,"Ohio, USA",fever
1201322975515070464,2019-12-02,"Ohio, USA",fever
1201559294119948288,2019-12-02,"Oklahoma, USA",cough
1201293924675002368,2019-12-02,"Oklahoma, USA",cough
1201556414298112000,2019-12-02,"Oregon, USA",fever
1201528372234309632,2019-12-02,"Oregon, USA",fever
1201515815578820608,2019-12-02,"Pennsylvania, USA",cough
1201329056568008704,2019-12-02,"Pennsylvania, USA",cough
1201589601586032640,2019-12-02,"Pennsylvania, USA",fever
1201578958820696064,2019-12-02,"Pennsylvania, USA",fever
1201526953318273024,2019-12-02,"Pennsylvania, USA",fever
1201421543445815296,2019-12-02,"Pennsylvania, USA",fever
1201292966574403584,2019-12-02,"Pennsylvania, USA",fever
1201381919423901696,2019-12-02,"South_Carolina, USA",cough
1201385736412565504,2019-12-02,"Tennessee, USA",cough
1201290541784293376,2019-12-02,"Tennessee, USA",cough
1201629589547732992,2019-12-02,"Tennessee, USA",fever
1201298806861631488,2019-12-02,"Tennessee, USA",fever
1201650963049861120,2019-12-02,"Texas, USA",cough
1201635331168227328,2019-12-02,"Texas, USA",cough
1201527902795231232,2019-12-02,"Texas, USA",cough
1201507057364602880,2019-12-02,"Texas, USA",cough
1201462642159869952,2019-12-02,"Texas, USA",cough
1201461274065981440,2019-12-02,"Texas, USA",cough
1201366182332391424,2019-12-02,"Texas, USA",cough
1201322896548880384,2019-12-02,"Texas, USA",cough
1201316699204718592,2019-12-02,"Texas, USA",cough
1201636668207456512,2019-12-02,"Texas, USA",fever
1201625991136862208,2019-12-02,"Texas, USA",fever
1201622909342638080,2019-12-02,"Texas, USA",fever
1201612187145588736,2019-12-02,"Texas, USA",fever
1201611484524171264,2019-12-02,"Texas, USA",fever
1201586331891179520,2019-12-02,"Texas, USA",fever
1201580391007707136,2019-12-02,"Texas, USA",fever
1201556726379663360,2019-12-02,"Texas, USA",fever
1201365827896954880,2019-12-02,"Texas, USA",fever
1201361992419819520,2019-12-02,"Texas, USA",fever
1201360634341756928,2019-12-02,"Texas, USA",fever
1201321762165841920,2019-12-02,"Texas, USA",fever
1201355493228199936,2019-12-02,"Utah, USA",cough
1201552241859141632,2019-12-02,"Virginia, USA",cough
1201518719475867648,2019-12-02,"Virginia, USA",cough
1201311703251717888,2019-12-02,"Virginia, USA",cough
1201313618127708160,2019-12-02,"Virginia, USA",fever
1201646570648883200,2019-12-02,"Washington, DC",fever
1201470042778550272,2019-12-02,"Washington, DC",fever
1201374437938888704,2019-12-02,"Washington, USA",cough
1201579669537075200,2019-12-02,"Washington, USA",fever
